,gene,hl_rep1,hl_rep2,hl_rep3,hl_avg
335,YNL188W,,,0.8231853002053848,0.8231853002053848
673,YDR280W,,,1.4340993487945821,1.4340993487945821
6145,YEL076C-A,1.8572012391608537,,,1.8572012391608537
6143,YPR204W,2.433576912221498,1.5259722170064487,,1.9797745646139733
6161,YBL111C,1.47150899616856,2.665418402145895,,2.0684636991572276
6127,YEL076W-C,3.039732021698485,1.449470300702292,2.7712758257523262,2.420159382717701
74,YPL219W,,,2.62670677145849,2.62670677145849
6098,YLR467W,4.087256871931717,2.190681462903358,2.194129171637893,2.8240225021576557
560,YOR106W,,,2.8265063633228547,2.8265063633228547
6163,YER189W,2.9907478926440163,,,2.9907478926440163
6162,YFL065C,4.325338259375838,2.226954385516286,,3.2761463224460616
640,YKL113C,,,3.2894578471412035,3.2894578471412035
561,YGL212W,,5.2913684739132245,1.5177405324224762,3.4045545031678506
293,YHL038C,5.01622692061266,3.0036167234033964,2.5051474030211516,3.5083303490124025
6108,YFL066C,3.9538792791914434,2.9640919142427,3.714544396457189,3.5441718632971106
700,YGR074W,,,3.550682619802143,3.550682619802143
6134,YHR219W,3.5810188022507914,,,3.5810188022507914
6106,YLL066C,3.2938171540178622,3.4970245320341617,4.0420557041737295,3.6109657967419175
2062,YGR013W,,,3.7800946204334775,3.7800946204334775
4301,YOL019W,,2.497008552441431,5.510284199106336,4.003646375773884
6097,YLL067C,5.113576668461555,3.7239983632379094,3.1839235254465534,4.007166185715339
6008,YPR203W,,3.0716529162231376,5.426262981136096,4.248957948679617
459,YBR200W,,5.278555628060604,3.2301925721514837,4.254374100106044
982,YBR154C,,4.926191704839851,3.619038483741485,4.272615094290668
107,YGR143W,,5.907369019648951,2.651055049832717,4.279212034740834
319,YBL016W,,5.146161682260926,3.4988689928207575,4.322515337540842
689,YDR197W,,,4.327589022641189,4.327589022641189
5729,YCL025C,2.452746965020865,1.7909330484513986,8.802048720878078,4.348576244783447
629,YBR202W,,4.384999399926073,,4.384999399926073
4232,YDR046C,,3.37899514368144,5.443403609796082,4.411199376738761
6136,YLR462W,5.43877156749062,,3.423633914196419,4.43120274084352
1328,YDR399W,,2.530428647810548,6.462718035056491,4.496573341433519
433,YDL225W,,6.031816420327282,3.0039909676555117,4.517903693991397
65,YPL256C,7.518892823840328,3.8410053166495954,2.3191166902494027,4.5596716102464425
381,YDR362C,,4.616056615484581,4.511840766770284,4.5639486911274325
1016,YMR167W,,5.033266885247893,4.31364362264107,4.673455253944482
684,YLR197W,5.061311348832027,5.323603452148212,3.708720943168321,4.697878581382853
754,YPL029W,,5.19955278514861,4.4939112505686225,4.846732017858616
