,gene,hl_rep1,hl_rep2,hl_rep3,hl_avg
6170,YIL176C,60.961915377772485,3.7106406138224384,4.393342197416598e+29,1.4644473991388658e+29
6147,YLL062C,2.928894798277732e+27,18.018677249972303,36.379016253912305,9.762982660925773e+26
5943,YHR048W,42.30262634669599,5.862586612249479e+24,1.5706846314090107e+18,1.954196060978037e+24
5730,YDR123C,1.1864830586226393e+19,1.2225309597270892e+21,,6.171978951566578e+20
5999,YIR025W,1.0750257656769755e+21,20.680578261973125,50.19173061562105,3.583419218923252e+20
297,YOR334W,93.42700675882773,9.445449404968842e+20,3547683509654.5845,3.148483146815226e+20
1961,YEL064C,63.396516780143315,9.377050357468939e+20,16.101913461144477,3.125683452489646e+20
4953,YKL102C,57.71076164613356,8.931631955649905e+20,100.42891828182739,2.977210651883302e+20
5189,YDR107C,2.064077340548843,5.851094072586322e+20,,2.925547036293161e+20
6013,YIL136W,36.7971032352545,7.660042682095854e+20,64.41805378843974,2.553347560698618e+20
5808,YFR020W,1.7351114230976184e+20,,,1.7351114230976184e+20
3681,YGR164W,37.6694371703043,2.850331439644807e+20,113.55330479774433,9.501104798816023e+19
4327,YPR151C,25.73604031902028,2.708884902138354e+20,6.6390877046175096e+16,9.031829369696053e+19
6164,YCR103C,1.4069712936138393e+20,23.46255065956682,,7.034856468069197e+19
5683,YCL076W,,,6.30377378526985e+19,6.30377378526985e+19
300,Q0120,89.12968867895545,7.812793054578949e+18,1.0517989247047636e+20,3.766422850835177e+19
2352,YMR174C,51.09449484882685,1.0714547239498491e+20,108.3608922839501,3.571515746499497e+19
3176,YDL023C,70.51608488542786,1.5883449537044513e+19,7.802608300137311e+19,3.1303177512805876e+19
4231,YAL015C,1.7243306064532082e+16,9.236555189784171e+19,137.8642764174674,3.0794265067968745e+19
6021,YNL019C,9.089755668242537e+19,2.208766598747137e+16,33.50618072059474,3.030654811613761e+19
3384,YLL042C,24.03266147818122,4.231625979517851e+19,,2.1158129897589256e+19
4002,YBL098W,4.168723112052634e+19,,105.98909519539208,2.084361556026317e+19
1857,YNL160W,58.78920345669052,5.731083848296091e+19,77.33676790777298,1.9103612827653636e+19
5080,YER097W,117.06793286265392,25.682920174545462,4.3766692025613976e+19,1.4588897341871325e+19
715,YMR268C,99.74270060386253,4.341998640114661e+19,39.82086194602815,1.4473328800382204e+19
1008,YOR005C,65.5174858393645,35.750261820932614,3.78031999657721e+19,1.2601066655257369e+19
3385,YHR130C,44.854551891208615,3.724450913473455e+19,36.31806000193068,1.241483637824485e+19
6099,YBR182C,2.139589207076609e+19,,96.71583210061927,1.0697946035383044e+19
303,YKR052C,35.54538242653077,3.1320667034590593e+19,18.793750724011872,1.044022234486353e+19
2047,YDR446W,2.3823689734645156e+16,,1.879431332257315e+19,9.409068506153896e+18
435,YDR218C,22.2160904416313,2.4795481338138817e+19,56.94097984729683,8.265160446046273e+18
479,YBL078C,,1.5019495494014798e+19,101.94869875219958,7.509747747007399e+18
4645,YMR210W,57.016635384615725,58086706553377.93,2.20316523315108e+19,7.343903472739118e+18
4703,YMR180C,111.05559299961963,2.172524840758766e+19,133.55358052994518,7.241749469195887e+18
4841,YMR104C,,6.863815820398072e+18,,6.863815820398072e+18
2102,YDL221W,162.07859294155995,6.870161994068143e+18,9.910696816943116e+18,5.59361960367042e+18
3801,YOL116W,73.42032316212689,1.656809211810728e+19,84.29203558754311,5.522697372702426e+18
6038,YIR029W,,1.0818352398945978e+19,60.01251493736927,5.409176199472989e+18
559,YOR036W,1.5122655420647705e+19,126.30167821739795,3.4363734228766933,5.040885140215901e+18
1842,YBR213W,,9.542832424695128e+18,65.39271501654683,4.771416212347564e+18
5312,YPR157W,18.111586689889815,8.473553098663439e+18,,4.2367765493317197e+18
4026,YNL159C,78.0694403172035,1.217639906410099e+19,60.0965081363579,4.0587996880336635e+18
2436,YDL223C,7.683804166684306e+18,,78.77311493544013,3.841902083342153e+18
5030,YGL125W,342.01520232656816,5.670535345654245e+18,,2.8352676728271227e+18
5096,YDR360W,32.46984957574792,8.039425387629979e+18,20.855193887583603,2.679808462543326e+18
2733,YLR081W,7.610975224431015e+18,312.08098135178943,93.23671359165677,2.536991741477005e+18
5920,YMR244W,219.54149888741802,7.424566971021041e+18,718.9294823104452,2.474855657007014e+18
1653,YOL052C-A,50.42383123277785,,4.845464727373259e+18,2.4227323636866294e+18
5987,YHR210C,,4.61853762884428e+18,142.40728802926685,2.30926881442214e+18
5160,YJR078W,61.33480020435456,,4.377558888532122e+18,2.188779444266061e+18
4082,YMR159C,3.896302363190389e+18,,50.262156655400226,1.9481511815951946e+18
6059,YIL113W,3.795082707153515e+18,,17.606547818297972,1.8975413535767575e+18
2642,YER181C,86.89741218041254,5.057419623176961e+18,81.68760227703896,1.685806541058987e+18
5437,YHR138C,4.1863138888095217e+18,91.09540518629368,32.360494227921514,1.3954379629365071e+18
4695,YGL247W,120.95473514741603,4.075921609778718e+18,29.703786075883915,1.358640536592906e+18
3964,YDR281C,2855.340247995012,2.6689938992470564e+18,,1.3344969496235297e+18
5470,YOR348C,57.48865575589285,,2.5246730115382333e+18,1.2623365057691167e+18
10,YDR074W,42.70503151539363,,2.2090088905077048e+18,1.1045044452538524e+18
374,YPR186C,217.57424264042004,2.974482931242708e+18,2.5083829469684837,9.91494310414236e+17
2050,YBR045C,60.060938647998995,2.890387951790708e+18,57.45739273362751,9.634626505969028e+17
5970,YDR403W,71.75328393374664,2.8722096817155446e+18,44.23132388204363,9.574032272385148e+17
2233,YOR344C,38.38411695613771,2.623850234254711e+18,65.35465904862897,8.746167447515703e+17
4081,YLR258W,334.76490540696454,1.4987566525035162e+18,,7.493783262517582e+17
5156,YKL052C,1.9081119877526528e+18,25.15258057700956,47.564492847349776,6.360373292508842e+17
4686,YIL117C,,33.587070489380785,9.370027744558205e+17,4.685013872279103e+17
5255,YPR194C,113.18427660660777,1.2926242666133617e+18,26.51636171147959,4.308747555377872e+17
6055,YNL319W,8.057092555762575e+17,,9.706816270450155,4.028546277881288e+17
1990,YNL015W,29.418007185524157,1.163894769998952e+18,71.78425969826623,3.87964923332984e+17
2097,YDL209C,,6.602814455850428e+17,12.409525610516143,3.301407227925214e+17
999,YJR052W,229.08722358291334,5.58375461984258e+17,,2.7918773099212912e+17
4581,YOL028C,73.47265270878736,5.98860492697936e+17,29.70801088495307,1.9962016423264538e+17
2561,Q0050,70.59728620884566,5.847596647408776e+17,58.30480044425642,1.9491988824695923e+17
5820,YGR248W,1.847713557583909e+17,,,1.847713557583909e+17
2576,YBR228W,97.25969556835187,4.9363521293446624e+17,76.28133449319598,1.645450709781555e+17
2943,YDR001C,54.69761837396195,,3.1755221660878995e+17,1.58776108304395e+17
6177,YLL065W,2.2744787785942187,2.998626818050911e+17,,1.4993134090254554e+17
4035,YMR158W-A,75.42871261088386,4.369314433284379e+17,51.821112398914686,1.4564381444281267e+17
4527,YDR257C,137.7809309008005,524214116485226.44,3.638739751565768e+17,1.2146606309102072e+17
4892,YKR091W,328.6425186901921,3.5347234422580186e+17,161.85122041414598,1.1782411474193413e+17
4888,YER121W,52.076557316163125,3.3474250513307814e+17,34.92272909771235,1.1158083504435942e+17
3575,YBL048W,31.18142329747081,3.110361169030452e+17,49.302435450293856,1.0367870563434842e+17
3965,YOR192C,56.56237613629524,2.915433039015334e+17,32.499846647496554,9.718110130051117e+16
1812,YAL064W,207.45207750454745,1.927885593309004e+17,,9.63942796654503e+16
